Entity,Year,Life_Expectancy
Russia,1800,29.573458
Russia,1801,29.573458
Russia,1802,29.573458
Russia,1803,29.573458
Russia,1804,29.573458
Russia,1805,29.573458
Russia,1806,29.573458
Russia,1807,29.573458
Russia,1808,29.573458
Russia,1809,29.573458
Russia,1810,29.573458
Russia,1811,29.573458
Russia,1812,29.573458
Russia,1813,29.573458
Russia,1814,29.573458
Russia,1815,29.573458
Russia,1816,29.573458
Russia,1817,29.573458
Russia,1818,29.573458
Russia,1819,29.573458
Russia,1820,29.573458
Russia,1821,29.573458
Russia,1822,29.573458
Russia,1823,29.573458
Russia,1824,29.573458
Russia,1825,29.573458
Russia,1826,29.573458
Russia,1827,29.573458
Russia,1828,29.573458
Russia,1829,29.573458
Russia,1830,29.573458
Russia,1831,29.573458
Russia,1832,29.573458
Russia,1833,29.573458
Russia,1834,29.573458
Russia,1835,29.573458
Russia,1836,29.573458
Russia,1837,29.573458
Russia,1838,29.573458
Russia,1839,29.573458
Russia,1840,29.573458
Russia,1841,29.573458
Russia,1842,29.573458
Russia,1843,29.573458
Russia,1844,29.573458
Russia,1845,29.573458
Russia,1846,29.573458
Russia,1847,29.573458
Russia,1848,18
Russia,1849,29.573458
Russia,1850,29.573458
Russia,1851,29.573458
Russia,1852,29.573458
Russia,1853,29.5
Russia,1854,27.5
Russia,1855,27.5
Russia,1856,29
Russia,1857,29.573458
Russia,1858,29.573458
Russia,1859,29.573458
Russia,1860,29.573458
Russia,1861,29.573458
Russia,1862,29.573458
Russia,1863,29.573458
Russia,1864,29.573458
Russia,1865,29.573458
Russia,1866,29.573458
Russia,1867,29.573458
Russia,1868,27.851233
Russia,1869,27.934912
Russia,1870,31.120827
Russia,1871,28.103025
Russia,1872,25.916433
Russia,1873,29.484869
Russia,1874,30.474104
Russia,1875,31.120827
Russia,1876,30.93466
Russia,1877,31.308113
Russia,1878,27.767805
Russia,1879,30.841995
Russia,1880,30.201067
Russia,1881,32.164948
Russia,1882,26.705706
Russia,1883,29.045897
Russia,1884,32.749157
Russia,1885,30.841995
Russia,1886,34.256531
Russia,1887,33.244099
Russia,1888,33.144516
Russia,1889,31.027603
Russia,1890,29.930477
Russia,1891,26.387152
Russia,1892,21.261061
Russia,1893,27.601696
Russia,1894,28.103025
Russia,1895,26.947142
Russia,1896,28.27215
Russia,1897,30.474104
Russia,1898,27.934912
Russia,1899,31.591158
Russia,1900,30.749607
Russia,1901,29.045897
Russia,1902,29.84082
Russia,1903,31.781273
Russia,1904,32.164948
Russia,1905,30.474104
Russia,1906,31.972534
Russia,1907,33.645432
Russia,1908,33.645432
Russia,1909,32.358517
Russia,1910,31.402178
Russia,1911,35.088634
Russia,1912,35.512234
Russia,1913,33.343979
Russia,1914,33
Russia,1915,31.5
Russia,1916,31.5
Russia,1917,29
Russia,1918,23
Russia,1919,25
Russia,1920,20.5
Russia,1921,23.799999
Russia,1922,24.700001
Russia,1923,33.599998
Russia,1924,36.099998
Russia,1925,35.200001
Russia,1926,38.400002
Russia,1927,37.5
Russia,1928,38.900002
Russia,1929,37.400002
Russia,1930,36.5
Russia,1931,35
Russia,1932,32.799999
Russia,1933,17.35
Russia,1934,38.200001
Russia,1935,39.599998
Russia,1936,41.099998
Russia,1937,39.900002
Russia,1938,41.400002
Russia,1939,43.599998
Russia,1940,41.200001
Russia,1941,23
Russia,1942,18
Russia,1943,16
Russia,1944,27
Russia,1945,34
Russia,1946,46.099998
Russia,1947,40.400002
Russia,1948,52.200001
Russia,1949,55
Russia,1950,57.299999
Russia,1951,57.799999
Russia,1952,58.200001
Russia,1953,59
Russia,1954,61
Russia,1955,63.400002
Russia,1956,64.900002
Russia,1957,64
Russia,1958,66.900002
Russia,1959,67.650002
Russia,1960,68.669998
Russia,1961,68.919998
Russia,1962,68.580002
Russia,1963,69.050003
Russia,1964,69.849998
Russia,1965,69.440002
Russia,1966,69.510002
Russia,1967,69.300003
Russia,1968,69.260002
Russia,1969,68.739998
Russia,1970,68.860001
Russia,1971,69.120003
Russia,1972,69.019997
Russia,1973,69
Russia,1974,68.989998
Russia,1975,68.349998
Russia,1976,68.099998
Russia,1977,67.970001
Russia,1978,68.010002
Russia,1979,67.730003
Russia,1980,67.699997
Russia,1981,67.919998
Russia,1982,68.379997
Russia,1983,68.150002
Russia,1984,67.669998
Russia,1985,68.330002
Russia,1986,69.949997
Russia,1987,69.959999
Russia,1988,69.809998
Russia,1989,69.730003
Russia,1990,69.169998
Russia,1991,68.959999
Russia,1992,67.75
Russia,1993,65.129997
Russia,1994,63.75
Russia,1995,64.339996
Russia,1996,65.629997
Russia,1997,66.800003
Russia,1998,67.089996
Russia,1999,65.870003
Russia,2000,65.279999
Russia,2001,65.279999
Russia,2002,65.129997
Russia,2003,65.18
Russia,2004,65.459999
Russia,2005,65.610001
Russia,2006,66.849998
Russia,2007,67.559998
Russia,2008,67.870003
Russia,2009,68.849998
Russia,2010,69.220001
Russia,2011,69.860001
Russia,2012,70.449997
Russia,2013,70.760002
Russia,2014,70.860001
Russia,2015,70.830002
Russia,2016,70.870003
